index,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type,daynight,brightness,bright_t31,year,month,day,hour,minute,datetime,month_name,geometry,group_id
0,-9.9092,-44.853,,2.9,1.6,2015-09-15,1609,Aqua,MODIS,100,6.2,,3127.1,0.0,D,448.2,330.3,2015,9,15,16,9,2015-09-15 16:09:00,Sep,POINT (-44.853 -9.9092),061
0,-8.4844,-43.1542,,1.6,1.2,2015-10-28,1259,Terra,MODIS,100,6.2,,3141.8,0.0,D,500.0,357.5,2015,10,28,12,59,2015-10-28 12:59:00,Oct,POINT (-43.1542 -8.484400000000001),062
0,-17.2264,-43.2475,,2.7,1.6,2015-10-17,1607,Aqua,MODIS,100,6.2,,3153.8,0.0,D,452.4,330.3,2015,10,17,16,7,2015-10-17 16:07:00,Oct,POINT (-43.2475 -17.2264),063
0,-4.6678,-46.7463,,1.9,1.3,2015-12-02,1623,Aqua,MODIS,94,6.2,,3218.0,0.0,D,484.4,316.9,2015,12,2,16,23,2015-12-02 16:23:00,Dec,POINT (-46.7463 -4.6678),064
0,-11.9794,-54.8182,,1.6,1.3,2015-07-03,1421,Terra,MODIS,100,6.2,,3219.7,0.0,D,500.0,328.6,2015,7,3,14,21,2015-07-03 14:21:00,Jul,POINT (-54.8182 -11.9794),065
0,-11.9681,-54.8167,,1.6,1.3,2015-07-03,1421,Terra,MODIS,100,6.2,,3220.6,0.0,D,500.0,326.7,2015,7,3,14,21,2015-07-03 14:21:00,Jul,POINT (-54.8167 -11.9681),066
0,-11.9813,-54.8035,,1.6,1.3,2015-07-03,1421,Terra,MODIS,87,6.2,,3227.9,0.0,D,500.0,306.7,2015,7,3,14,21,2015-07-03 14:21:00,Jul,POINT (-54.8035 -11.9813),067
0,-11.9701,-54.802,,1.6,1.3,2015-07-03,1421,Terra,MODIS,94,6.2,,3231.1,0.0,D,500.0,341.7,2015,7,3,14,21,2015-07-03 14:21:00,Jul,POINT (-54.802 -11.9701),068
0,-13.1912,-43.8128,,1.6,1.3,2015-10-09,1657,Aqua,MODIS,100,6.2,,3237.5,0.0,D,500.4,400.1,2015,10,9,16,57,2015-10-09 16:57:00,Oct,POINT (-43.8128 -13.1912),069
0,-11.9805,-54.8092,,1.6,1.3,2015-07-03,1421,Terra,MODIS,87,6.2,,3239.5,0.0,D,500.0,325.2,2015,7,3,14,21,2015-07-03 14:21:00,Jul,POINT (-54.8092 -11.9805),070
