frp,latitude,longitude,instrument,is_top_point
4.8,-9.22295,-65.41230999999999,VIIRS,False
7.7,-9.22579,-65.43212,VIIRS,False
4.8,-9.21904,-65.41286,VIIRS,False
9.4,-9.21444,-65.40853,VIIRS,False
41.8,-9.2201,-65.44811,VIIRS,False
6.2,-9.204130000000001,-65.42004,VIIRS,False
14.3,-9.20093,-65.42551999999999,VIIRS,False
5.8,-9.224969999999999,-65.42926999999999,VIIRS,False
5.8,-9.22429,-65.42426,VIIRS,False
2.6,-9.21903,-65.41495,VIIRS,False
12.0,-9.21446,-65.41059,VIIRS,False
5.1,-9.21514,-65.41343,VIIRS,False
7.2,-9.208739999999999,-65.42441,VIIRS,False
6.6,-9.19563,-65.41626,VIIRS,False
6.6,-9.19633,-65.42118,VIIRS,False
10.3,-9.19173,-65.41681,VIIRS,False
1.8,-9.20406,-65.41866,VIIRS,False
1.9,-9.221969999999999,-65.41346999999999,VIIRS,False
3.5,-9.20305,-65.42641,VIIRS,False
1.5,-9.20969,-65.41951,VIIRS,False
1.3,-9.210189999999999,-65.41563000000001,VIIRS,False
1.1,-9.22311,-65.44861,VIIRS,False
1.1,-9.21748,-65.44782,VIIRS,False
2.1,-9.222610000000001,-65.45241999999999,VIIRS,False
1.8,-9.20355,-65.42255,VIIRS,False
2.4,-9.208689999999999,-65.42725,VIIRS,False
1.3,-9.216330000000001,-65.41261999999999,VIIRS,False
1.5,-9.20919,-65.42338000000001,VIIRS,False
7.7,-9.20308,-65.42609,VIIRS,False
11.0,-9.217,-65.44868000000001,VIIRS,False
7.7,-9.20265,-65.42271,VIIRS,False
2.9,-9.21595,-65.44781,VIIRS,False
1.8,-9.22055,-65.44478000000001,VIIRS,False
1.8,-9.22003,-65.44841,VIIRS,False
1.4,-9.20686,-65.42421999999999,VIIRS,False
0.7,-9.20225,-65.42726,VIIRS,False
12.4,-9.25371,-65.38251,VIIRS,False
21.8,-9.21842,-65.33521,VIIRS,False
12.7,-9.22557,-65.33559,VIIRS,False
639.9,-9.23886,-65.37545,VIIRS,False
257.4,-9.24591,-65.37917,VIIRS,False
19.9,-9.22903,-65.35427,VIIRS,False
325.6,-9.237060000000001,-65.3661,VIIRS,False
53.9,-9.24055,-65.3512,VIIRS,False
162.2,-9.23517,-65.38741,VIIRS,False
20.4,-9.22879,-65.32307,VIIRS,False
19.2,-9.25296,-65.38293,VIIRS,False
43.9,-9.23965,-65.34311,VIIRS,False
19.9,-9.22991,-65.35901,VIIRS,False
84.5,-9.230789999999999,-65.36375,VIIRS,False
18.1,-9.22198,-65.35046,VIIRS,False
19.9,-9.22288,-65.35528000000001,VIIRS,False
18.3,-9.23875,-65.34182,VIIRS,False
137.7,-9.242339999999999,-65.36055999999999,VIIRS,False
639.9,-9.23272,-65.37651,VIIRS,False
75.8,-9.2291,-65.35772,VIIRS,False
31.7,-9.23259,-65.34281,VIIRS,False
19.6,-9.23073,-65.33318,VIIRS,False
117.7,-9.24137,-65.3524,VIIRS,False
11.9,-9.23077,-65.32941,VIIRS,False
257.4,-9.245,-65.37444,VIIRS,False
117.7,-9.23606,-65.35799,VIIRS,False
31.7,-9.22551,-65.33904,VIIRS,False
19.2,-9.24682,-65.38393,VIIRS,False
44.3,-9.23437,-65.35209,VIIRS,False
173.5,-9.23252,-65.37313,VIIRS,False
117.7,-9.242230000000001,-65.35710999999999,VIIRS,False
292.5,-9.24655,-65.38049000000001,VIIRS,False
1121.9,-9.2441,-65.36975,VIIRS,False
19.6,-9.22974,-65.32800999999999,VIIRS,False
11.9,-9.22984,-65.32433,VIIRS,False
44.3,-9.23349,-65.34751999999999,VIIRS,False
28.4,-9.231710000000001,-65.33448,VIIRS,False
137.7,-9.2485,-65.3596,VIIRS,False
11.0,-9.21513,-65.4495,VIIRS,False
75.8,-9.23616,-65.36143,VIIRS,False
6.6,-9.220080000000001,-65.44205,VIIRS,False
11.0,-9.21424,-65.44474,VIIRS,False
11.0,-9.22035,-65.44363,VIIRS,False
117.7,-9.23519,-65.35332,VIIRS,False
18.3,-9.24494,-65.34102,VIIRS,False
18.1,-9.22109,-65.34568,VIIRS,False
53.9,-9.23968,-65.34666,VIIRS,False
257.4,-9.25208,-65.37834000000001,VIIRS,False
9.9,-9.224680000000001,-65.33081999999999,VIIRS,False
173.5,-9.2334,-65.37784,VIIRS,False
84.5,-9.23165,-65.36843,VIIRS,False
75.8,-9.23002,-65.36246,VIIRS,False
159.6,-9.23456,-65.38603,VIIRS,False
325.6,-9.231819999999999,-65.37181,VIIRS,False
639.9,-9.23977,-65.3802,VIIRS,False
12.7,-9.219380000000001,-65.33643000000001,VIIRS,False
12.7,-9.22644,-65.34029,VIIRS,False
9.9,-9.22375,-65.32579,VIIRS,False
43.9,-9.23435,-65.34877,VIIRS,False
28.4,-9.2326,-65.3393,VIIRS,False
44.3,-9.22819,-65.35297,VIIRS,False
44.3,-9.22728,-65.34824,VIIRS,False
53.9,-9.24579,-65.34546,VIIRS,False
53.9,-9.2467,-65.35022,VIIRS,False
19.6,-9.2246,-65.33434,VIIRS,False
13.6,-9.219289999999999,-65.33977,VIIRS,False
12.7,-9.221110000000001,-65.34915,VIIRS,False
18.1,-9.22728,-65.34483,VIIRS,False
43.9,-9.24052,-65.34782,VIIRS,False
9.9,-9.218539999999999,-65.33195,VIIRS,False
43.9,-9.23349,-65.34409000000001,VIIRS,False
3.1,-9.21318,-65.33726999999999,VIIRS,False
974.2,-9.23953,-65.37677,VIIRS,False
18.1,-9.22815,-65.34953,VIIRS,False
31.7,-9.226389999999999,-65.34361,VIIRS,False
