FirePoint(frp=1.5, coords=9 10' 39.864'' S 65 25' 16.428'' W, instrument=VIIRS)
FirePoint(frp=4.0, coords=9 13' 14.16'' S 65 27' 4.212'' W, instrument=VIIRS)
FirePoint(frp=1.8, coords=9 11' 48.588'' S 65 24' 58.356'' W, instrument=VIIRS)
FirePoint(frp=3.0, coords=9 13' 18.3'' S 65 24' 43.632'' W, instrument=VIIRS)
FirePoint(frp=2.4, coords=9 12' 52.74'' S 65 24' 40.392'' W, instrument=VIIRS)
FirePoint(frp=5.9, coords=9 12' 51.732'' S 65 25' 9.732'' W, instrument=VIIRS)
FirePoint(frp=3.7, coords=9 12' 28.8'' S 65 24' 51.624'' W, instrument=VIIRS)
FirePoint(frp=5.1, coords=9 13' 8.688'' S 65 27' 4.356'' W, instrument=VIIRS)
FirePoint(frp=1.8, coords=9 11' 24.756'' S 65 25' 9.3'' W, instrument=VIIRS)
FirePoint(frp=1.5, coords=9 11' 0.96'' S 65 25' 20.244'' W, instrument=VIIRS)
FirePoint(frp=4.3, coords=9 12' 9.648'' S 65 25' 2.136'' W, instrument=VIIRS)
FirePoint(frp=7.0, coords=9 13' 22.584'' S 65 24' 51.768'' W, instrument=VIIRS)
FirePoint(frp=5.5, coords=9 13' 30.252'' S 65 25' 37.632'' W, instrument=VIIRS)
FirePoint(frp=6.2, coords=9 12' 28.944'' S 65 25' 10.164'' W, instrument=VIIRS)
FirePoint(frp=7.2, coords=9 12' 17.388'' S 65 25' 29.856'' W, instrument=VIIRS)
FirePoint(frp=4.8, coords=9 13' 26.436'' S 65 26' 51.216'' W, instrument=VIIRS)
FirePoint(frp=6.6, coords=9 12' 0.828'' S 65 25' 14.196'' W, instrument=VIIRS)
FirePoint(frp=5.1, coords=9 12' 40.464'' S 65 24' 50.4'' W, instrument=VIIRS)
FirePoint(frp=12.0, coords=9 13' 23.124'' S 65 26' 41.136'' W, instrument=VIIRS)
