frp,day,time,latitude,longitude,instrument,is_top_point,group_id
76.0,2015-09-30,17:37:00,-10.28222,-64.54803000000001,VIIRS,False,4221298
5.8,2015-10-01,17:18:00,-10.28957,-64.56322,VIIRS,False,4221298
4.0,2015-10-04,18:02:00,-10.32813,-64.66391999999999,VIIRS,False,4221298
7.1,2015-10-06,17:24:00,-10.29239,-64.56492,VIIRS,False,4221298
7.8,2015-10-06,17:24:00,-10.28924,-64.56815,VIIRS,False,4221298
657.5,2015-10-09,16:26:00,-13.233939999999999,-45.73748,VIIRS,True,4689132
64.7,2015-10-08,16:45:00,-13.19929,-45.6563,VIIRS,False,4689132
64.7,2015-10-08,16:45:00,-13.19871,-45.65256,VIIRS,False,4689132
19.8,2015-10-09,03:53:00,-13.204220000000001,-45.66908,VIIRS,False,4689132
19.8,2015-10-09,03:53:00,-13.205160000000001,-45.66405,VIIRS,False,4689132
19.8,2015-10-09,03:53:00,-13.2089,-45.669979999999995,VIIRS,False,4689132
19.8,2015-10-09,03:53:00,-13.20984,-45.66494,VIIRS,False,4689132
657.5,2015-10-09,16:26:00,-13.233939999999999,-45.73748,VIIRS,False,4689132
30.9,2015-10-09,16:26:00,-13.22505,-45.69984,VIIRS,False,4689132
37.3,2015-10-09,16:26:00,-13.223770000000002,-45.71731,VIIRS,False,4689132
19.2,2015-10-09,16:26:00,-13.2268,-45.71255,VIIRS,False,4689132
30.9,2015-10-09,16:26:00,-13.22446,-45.695609999999995,VIIRS,False,4689132
6.3,2015-10-09,16:26:00,-13.22553,-45.73003,VIIRS,False,4689132
16.1,2015-10-09,16:26:00,-13.219679999999999,-45.687670000000004,VIIRS,False,4689132
8.8,2015-10-09,16:26:00,-13.2191,-45.683440000000004,VIIRS,False,4689132
8.2,2015-10-09,16:26:00,-13.226220000000001,-45.70831,VIIRS,False,4689132
31.2,2015-10-09,16:26:00,-13.22388,-45.69137,VIIRS,False,4689132
8.8,2015-10-09,16:26:00,-13.21491,-45.67975,VIIRS,False,4689132
13.0,2015-10-09,16:26:00,-13.21374,-45.67131,VIIRS,False,4689132
8.2,2015-10-09,16:26:00,-13.225629999999999,-45.70407,VIIRS,False,4689132
134.1,2015-10-09,16:26:00,-13.23335,-45.73323,VIIRS,False,4689132
8.3,2015-10-09,16:26:00,-13.23756,-45.736959999999996,VIIRS,False,4689132
134.1,2015-10-09,16:26:00,-13.22915,-45.72951,VIIRS,False,4689132
20.3,2015-10-09,16:26:00,-13.213629999999998,-45.69719,VIIRS,False,4689132
47.8,2015-10-09,16:26:00,-13.236970000000001,-45.73271,VIIRS,False,4689132
47.8,2015-10-09,16:26:00,-13.236379999999999,-45.72846,VIIRS,False,4689132
134.1,2015-10-09,16:26:00,-13.229729999999998,-45.73375,VIIRS,False,4689132
19.2,2015-10-09,16:26:00,-13.22739,-45.71679,VIIRS,False,4689132
11.6,2015-10-10,16:07:00,-13.22384,-45.65401,VIIRS,False,4689132
11.6,2015-10-10,16:07:00,-13.22805,-45.64802,VIIRS,False,4689132
15.3,2015-10-10,16:07:00,-13.238439999999999,-45.6522,VIIRS,False,4689132
15.3,2015-10-10,16:07:00,-13.23291,-45.6474,VIIRS,False,4689132
668.8,2015-09-14,17:37:00,-10.06489,-64.71445,VIIRS,True,4307875
3.7,2015-08-15,18:41:00,-9.97711,-64.71185,VIIRS,False,4307875
1.5,2015-08-16,05:46:00,-10.01465,-64.6396,VIIRS,False,4307875
8.8,2015-08-16,18:22:00,-10.018289999999999,-64.6403,VIIRS,False,4307875
34.1,2015-08-18,17:44:00,-10.086110000000001,-64.72932,VIIRS,False,4307875
11.5,2015-08-18,17:44:00,-10.086960000000001,-64.68553,VIIRS,False,4307875
2.2,2015-08-20,06:12:00,-10.00724,-64.66486,VIIRS,False,4307875
2.0,2015-08-20,06:12:00,-10.0177,-64.66079,VIIRS,False,4307875
3.2,2015-08-20,06:12:00,-10.01698,-64.66615,VIIRS,False,4307875
3.2,2015-08-20,06:12:00,-10.01211,-64.66548,VIIRS,False,4307875
2.0,2015-08-20,06:12:00,-10.012830000000001,-64.66011,VIIRS,False,4307875
28.2,2015-08-20,17:06:00,-10.01615,-64.67439,VIIRS,False,4307875
21.6,2015-08-20,17:06:00,-10.01551,-64.6692,VIIRS,False,4307875
21.6,2015-08-20,17:06:00,-10.02185,-64.6684,VIIRS,False,4307875
32.4,2015-08-20,17:06:00,-10.01853,-64.67137,VIIRS,False,4307875
32.4,2015-08-20,17:06:00,-10.01793,-64.6662,VIIRS,False,4307875
21.6,2015-08-20,17:06:00,-10.01487,-64.66403000000001,VIIRS,False,4307875
7.4,2015-08-20,17:06:00,-10.01098,-64.66176999999999,VIIRS,False,4307875
7.9,2015-08-20,17:06:00,-10.01158,-64.66698000000001,VIIRS,False,4307875
9.8,2015-08-20,18:47:00,-10.02012,-64.66920999999999,VIIRS,False,4307875
21.0,2015-08-20,18:47:00,-10.00065,-64.67983000000001,VIIRS,False,4307875
