latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type,daynight,year,month,month_name
-11.21771,-56.42139,367.0,0.42,0.45,2012-07-24,1738,N,VIIRS,h,1,339.6,285.5,0.0,,2012,7,Jul
-6.38293,-44.80937,351.3,0.55,0.68,2012-07-25,1539,N,VIIRS,n,1,296.3,360.2,0.0,,2012,7,Jul
-6.208419999999999,-45.03167,367.0,0.57,0.69,2012-07-25,1539,N,VIIRS,h,1,301.2,349.5,0.0,,2012,7,Jul
-11.87878,-51.753029999999995,367.0,0.39,0.36,2012-07-26,1700,N,VIIRS,h,1,347.4,370.5,0.0,,2012,7,Jul
-10.84656,-45.34019,350.1,0.57,0.52,2012-07-28,347,N,VIIRS,n,1,302.0,285.9,0.0,,2012,7,Jul
-10.84753,-45.335,356.2,0.57,0.52,2012-07-28,347,N,VIIRS,n,1,315.8,285.9,0.0,,2012,7,Jul
-10.84848,-45.329809999999995,348.0,0.57,0.52,2012-07-28,347,N,VIIRS,n,1,329.4,482.4,0.0,,2012,7,Jul
-10.84945,-45.3246,342.2,0.57,0.52,2012-07-28,347,N,VIIRS,n,1,332.3,482.4,0.0,,2012,7,Jul
-10.85132,-45.34115,367.0,0.57,0.52,2012-07-28,347,N,VIIRS,h,1,352.7,285.9,0.0,,2012,7,Jul
-10.852269999999999,-45.33596,367.0,0.57,0.52,2012-07-28,347,N,VIIRS,h,1,380.0,285.9,0.0,,2012,7,Jul
-10.85323,-45.33078,367.0,0.57,0.52,2012-07-28,347,N,VIIRS,h,1,380.0,482.4,0.0,,2012,7,Jul
-10.8542,-45.32555,367.0,0.57,0.52,2012-07-28,347,N,VIIRS,h,1,380.0,482.4,0.0,,2012,7,Jul
-7.7187399999999995,-44.98874,367.0,0.39,0.36,2012-07-28,1623,N,VIIRS,h,1,346.1,283.9,0.0,,2012,7,Jul
-12.76009,-46.17503,367.0,0.62,0.54,2012-07-29,1603,N,VIIRS,h,1,342.5,448.7,0.0,,2012,7,Jul
-12.751430000000001,-46.10248,367.0,0.62,0.54,2012-07-29,1603,N,VIIRS,h,1,338.3,300.3,0.0,,2012,7,Jul
-12.75671,-46.18365,367.0,0.62,0.54,2012-07-29,1603,N,VIIRS,h,1,332.6,322.4,0.0,,2012,7,Jul
-12.741660000000001,-46.18525,367.0,0.62,0.54,2012-07-29,1603,N,VIIRS,h,1,346.3,310.7,0.0,,2012,7,Jul
-12.74238,-46.19101,367.0,0.62,0.54,2012-07-29,1603,N,VIIRS,h,1,336.7,310.7,0.0,,2012,7,Jul
-11.23361,-46.21775,367.0,0.6,0.53,2012-07-29,1603,N,VIIRS,h,1,371.4,306.7,0.0,,2012,7,Jul
-11.23434,-46.22338,347.9,0.6,0.53,2012-07-29,1603,N,VIIRS,n,1,301.1,306.7,0.0,,2012,7,Jul
-11.228710000000001,-46.2184,367.0,0.6,0.53,2012-07-29,1603,N,VIIRS,h,1,332.2,306.7,0.0,,2012,7,Jul
-11.229439999999999,-46.224070000000005,341.5,0.6,0.53,2012-07-29,1603,N,VIIRS,n,1,300.3,306.7,0.0,,2012,7,Jul
-3.8410900000000003,-43.01842,367.0,0.6,0.53,2012-07-30,1546,N,VIIRS,h,1,347.3,412.5,0.0,,2012,7,Jul
-3.8419,-43.02388,367.0,0.6,0.53,2012-07-30,1546,N,VIIRS,h,1,337.9,412.5,0.0,,2012,7,Jul
-3.83618,-43.01911,367.0,0.6,0.53,2012-07-30,1546,N,VIIRS,h,1,340.6,412.5,0.0,,2012,7,Jul
-3.83699,-43.024570000000004,367.0,0.6,0.53,2012-07-30,1546,N,VIIRS,h,1,352.2,412.5,0.0,,2012,7,Jul
-19.42924,-57.22964,367.0,0.37,0.58,2012-08-01,1645,N,VIIRS,h,1,336.3,329.7,0.0,,2012,8,Aug
-19.43469,-57.22906,367.0,0.37,0.58,2012-08-01,1645,N,VIIRS,h,1,313.9,329.7,0.0,,2012,8,Aug
-19.43507,-57.2327,367.0,0.37,0.58,2012-08-01,1645,N,VIIRS,h,1,364.4,329.7,0.0,,2012,8,Aug
-12.66789,-56.22148000000001,367.0,0.53,0.5,2012-08-01,1647,N,VIIRS,h,1,356.2,425.0,0.0,,2012,8,Aug
-7.73995,-48.031929999999996,367.0,0.44,0.38,2012-08-02,1629,N,VIIRS,h,1,355.3,301.8,0.0,,2012,8,Aug
-7.739380000000001,-48.02794,367.0,0.44,0.38,2012-08-02,1629,N,VIIRS,h,1,351.1,301.8,0.0,,2012,8,Aug
-7.053839999999999,-55.652730000000005,208.0,0.42,0.61,2012-08-02,1630,N,VIIRS,l,1,312.1,299.3,0.0,,2012,8,Aug
-7.054360000000001,-55.65651,367.0,0.42,0.61,2012-08-02,1630,N,VIIRS,l,1,288.8,299.3,0.0,,2012,8,Aug
-7.0481300000000005,-55.65343000000001,367.0,0.42,0.61,2012-08-02,1630,N,VIIRS,l,1,380.0,299.3,0.0,,2012,8,Aug
-7.04865,-55.65728000000001,208.0,0.42,0.61,2012-08-02,1630,N,VIIRS,l,1,320.1,299.3,0.0,,2012,8,Aug
-3.7391,-48.90248,367.0,0.44,0.38,2012-08-02,1630,N,VIIRS,h,1,335.3,315.1,0.0,,2012,8,Aug
-6.16634,-52.68884,208.0,0.35,0.57,2012-08-04,1733,N,VIIRS,l,1,322.0,302.6,0.0,,2012,8,Aug
-5.53929,-43.9207,367.0,0.6,0.71,2012-08-05,1533,N,VIIRS,h,1,305.2,367.3,0.0,,2012,8,Aug
-5.54004,-43.926159999999996,367.0,0.6,0.71,2012-08-05,1533,N,VIIRS,h,1,325.6,462.8,0.0,,2012,8,Aug
-7.794860000000001,-61.6195,367.0,0.39,0.44,2012-08-05,1714,N,VIIRS,l,1,325.4,281.7,0.0,,2012,8,Aug
-6.2064900000000005,-53.27369,367.0,0.49,0.4,2012-08-05,1714,N,VIIRS,h,1,361.4,338.9,0.0,,2012,8,Aug
-6.20279,-53.274330000000006,367.0,0.49,0.4,2012-08-05,1714,N,VIIRS,h,1,340.1,338.9,0.0,,2012,8,Aug
-6.2020800000000005,-53.269940000000005,330.5,0.49,0.4,2012-08-05,1714,N,VIIRS,n,1,298.3,338.9,0.0,,2012,8,Aug
-4.62985,-56.067240000000005,367.0,0.39,0.37,2012-08-05,1714,N,VIIRS,h,1,340.6,289.7,0.0,,2012,8,Aug
-3.4445,-64.73253000000001,345.1,0.55,0.51,2012-08-05,1715,N,VIIRS,n,1,298.8,282.1,0.0,,2012,8,Aug
-12.60468,-55.0148,339.0,0.53,0.42,2012-08-06,1653,N,VIIRS,n,1,312.7,285.6,0.0,,2012,8,Aug
-12.604000000000001,-55.00991,367.0,0.53,0.42,2012-08-06,1653,N,VIIRS,h,1,369.7,285.6,0.0,,2012,8,Aug
-12.60855,-55.014269999999996,367.0,0.53,0.42,2012-08-06,1653,N,VIIRS,h,1,352.6,285.6,0.0,,2012,8,Aug
-12.60787,-55.00938000000001,367.0,0.53,0.42,2012-08-06,1653,N,VIIRS,h,1,367.5,285.6,0.0,,2012,8,Aug
-12.61242,-55.013740000000006,367.0,0.53,0.42,2012-08-06,1653,N,VIIRS,l,1,380.0,401.7,0.0,,2012,8,Aug
-12.61174,-55.00885,367.0,0.53,0.42,2012-08-06,1653,N,VIIRS,h,1,363.2,401.7,0.0,,2012,8,Aug
-12.61628,-55.01321,367.0,0.53,0.42,2012-08-06,1653,N,VIIRS,h,1,374.8,401.7,0.0,,2012,8,Aug
-12.6156,-55.008340000000004,367.0,0.53,0.42,2012-08-06,1653,N,VIIRS,h,1,343.8,401.7,0.0,,2012,8,Aug
-12.60893,-55.0112,367.0,0.53,0.42,2012-08-06,1653,N,VIIRS,l,1,380.0,453.9,0.0,,2012,8,Aug
-12.609580000000001,-55.01611,367.0,0.53,0.42,2012-08-06,1653,N,VIIRS,h,1,329.8,453.9,0.0,,2012,8,Aug
-12.61345,-55.01557,367.0,0.53,0.42,2012-08-06,1653,N,VIIRS,h,1,365.9,453.9,0.0,,2012,8,Aug
-12.6128,-55.01067,367.0,0.53,0.42,2012-08-06,1653,N,VIIRS,h,1,372.1,453.9,0.0,,2012,8,Aug
-6.68267,-55.0039,367.0,0.45,0.39,2012-08-06,1655,N,VIIRS,h,1,367.3,447.9,0.0,,2012,8,Aug
-6.67656,-55.03155,367.0,0.59,0.53,2012-08-07,1636,N,VIIRS,l,1,331.0,317.7,0.0,,2012,8,Aug
-6.677289999999999,-55.037,277.3,0.59,0.53,2012-08-07,1636,N,VIIRS,l,1,324.1,291.8,0.0,,2012,8,Aug
-6.67167,-55.0322,367.0,0.59,0.53,2012-08-07,1636,N,VIIRS,h,1,328.4,317.7,0.0,,2012,8,Aug
-6.67802,-55.04246,338.1,0.59,0.53,2012-08-07,1636,N,VIIRS,n,1,299.1,291.8,0.0,,2012,8,Aug
-10.47733,-45.71184,367.0,0.51,0.41,2012-08-08,1616,N,VIIRS,h,1,357.4,381.4,0.0,,2012,8,Aug
-8.37298,-54.71811999999999,367.0,0.63,0.72,2012-08-08,1617,N,VIIRS,h,1,325.4,435.2,0.0,,2012,8,Aug
